title,table_link,question,answer,isUnderReview,areas
"Max Aitken, Lord Beaverbrook",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/37.csv,,,false,
Arcadia,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/38.csv,,,false,
Elias gamma coding,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/41.csv,,,false,
Haifa,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/42.csv,,,false,
Italian Air Force,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/44.csv,,,false,
Governor of New Mexico,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/45.csv,,,false,
Ilulissat,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/46.csv,,,false,
Pitch drop experiment,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/47.csv,,,false,
"Fayetteville, Arkansas",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/48.csv,,,false,
A Touch of Class (band),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/0.csv,,,false,
Airan,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/1.csv,,,false,
Ferris wheel,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/2.csv,,,false,
Monterrey,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/3.csv,,,false,
NAACP Image Award for Outstanding Supporting Actor in a Motion Picture,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/4.csv,,,false,
Kurt Nilsen,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/5.csv,,,false,
"Santa Monica, California",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/6.csv,,,false,
Economy of Kuwait,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/7.csv,,,false,
Central America,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/8.csv,,,false,
Zbigniew Rybczyński,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/9.csv,,,false,
Austevoll,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/10.csv,,,false,
Øresund Region,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/11.csv,,,false,
List of cities in Wisconsin,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/13.csv,,,false,
Chesapeake and Delaware Canal,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/14.csv,,,false,
Auryn,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/15.csv,,,false,
Williams Air Force Base,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/17.csv,,,false,
Old Trafford Cricket Ground,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/18.csv,,,false,
1965 in film,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/19.csv,,,false,
Nordic Council,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/20.csv,,,false,
Christopher Eccleston,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/21.csv,,,false,
"Fairfield, California",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/22.csv,,,false,
Tara Strong,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/23.csv,,,false,
List of Last of the Summer Wine episodes,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/24.csv,,,false,
Strathkelvin,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/25.csv,,,false,
London Wasps,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/26.csv,,,false,
Secretary of State for Canada,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/27.csv,,,false,
Tim Schafer,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/28.csv,,,false,
President of Suriname,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/29.csv,,,false,
Jagged Little Pill,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/30.csv,,,false,
The Passionate Pilgrim,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/31.csv,,,false,
"Kindersley, Saskatchewan",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/33.csv,,,false,
Nina Hagen,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/34.csv,,,false,
UNESCO Goodwill Ambassador,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/35.csv,,,false,
Jennifer Tilly,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/36.csv,,,false,
"Burlington, Ontario",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/37.csv,,,false,
Calder Memorial Trophy,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/38.csv,,,false,
Hoot Kloot,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/39.csv,,,false,
Silk (group),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/40.csv,,,false,
Jeff Daniels,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/42.csv,,,false,
List of cities in Luxembourg,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/43.csv,,,false,
Elizabeth Berkley,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/44.csv,,,false,
"Laurel, Maryland",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/45.csv,,,false,
Lahn,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/46.csv,,,false,
George Bush Intercontinental Airport,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/47.csv,,,false,
Crazy Town,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/48.csv,,,false,
Bari,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/201-csv/49.csv,,,false,
Jon Stewart,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/7.csv,,,false,
Irwin Allen,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/11.csv,,,false,
Niagara Regional Police Service,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/12.csv,,,false,
Ne-Yo,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/13.csv,,,false,
Attlee ministry,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/14.csv,,,false,
Mandy Patinkin,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/15.csv,,,false,
Ballad of Easy Rider (album),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/17.csv,,,false,
2006 Tour de France,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/22.csv,,,false,
Solid Base,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/24.csv,,,false,
Elvir Rahimić,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/26.csv,,,false,
Disinflation,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/28.csv,,,false,
Joan Rivers,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/29.csv,,,false,
Further Seems Forever,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/31.csv,,,false,
Nabucco,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/32.csv,,,false,
Abel Prize,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/37.csv,,,false,
Mary J. Blige,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/38.csv,,,false,
Stayin' Alive,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/43.csv,,,false,
1965,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/44.csv,,,false,
List of NWA World Heavyweight Champions,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/45.csv,,,false,
Glasgow Airport,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/48.csv,,,false,
Ritu (Indian season),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/50.csv,,,false,
Mirjam Ott,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/52.csv,,,false,
Super Star (S.H.E album),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/54.csv,,,false,
Varna,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/57.csv,,,false,
Warwick Farm Racecourse,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/58.csv,,,false,
1979–80 NBA season,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/59.csv,,,false,
Every Little Thing (band),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/62.csv,,,false,
Port Adelaide Football Club,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/63.csv,,,false,
James Brooks (American football),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/64.csv,,,false,
Mike Hargrove,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/65.csv,,,false,
2005 Spanish Grand Prix,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/66.csv,,,false,
Tracy Morgan,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/67.csv,,,false,
Kiribati dollar,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/68.csv,,,false,
5150 (album),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/72.csv,,,false,
Sussex County Football League,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/73.csv,,,false,
Gina Bellman,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/74.csv,,,false,
Bulworth,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/75.csv,,,false,
Electoral district of Lachlan,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/76.csv,,,false,
1999 British Grand Prix,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/78.csv,,,false,
Al-Khwarizmi (crater),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/79.csv,,,false,
Dolomites,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/80.csv,,,false,
List of periodic comets,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/81.csv,,,false,
Katyusha rocket launcher,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/82.csv,,,false,
Chris Webber,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/83.csv,,,false,
"Madison, Wisconsin",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/85.csv,,,false,
River Trent,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/86.csv,,,false,
Liza Minnelli,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/87.csv,,,false,
List of cities in Washington,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/90.csv,,,false,
West Derbyshire (UK Parliament constituency),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/91.csv,,,false,
Electoral district of Hammond,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/92.csv,,,false,
Gordon Ramsay,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/93.csv,,,false,
Televisão Independente,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/98.csv,,,false,
"Indio, California",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/99.csv,,,false,
Most lethal American battles,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/102.csv,,,false,
Islamic Supreme Council of Iraq,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/104.csv,,,false,
Davis Love III,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/110.csv,,,false,
Winnipeg Transit,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/114.csv,,,false,
North Island Main Trunk,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/115.csv,,,false,
T wave,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/116.csv,,,false,
German submarine U-559,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/117.csv,,,false,
Cycling at the 2004 Summer Olympics – Women's sprint,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/118.csv,,,false,
Churnet Valley Railway,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/119.csv,,,false,
1987 in film,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/122.csv,,,false,
Don Valley East,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/125.csv,,,false,
Ministries Trial,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/126.csv,,,false,
North Shore (TV series),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/127.csv,,,false,
List of refractive indices,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/128.csv,,,false,
1999 NASCAR Busch Series,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/131.csv,,,false,
Heartbeat (UK TV series),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/135.csv,,,false,
Maia Morgenstern,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/137.csv,,,false,
TradeMe,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/140.csv,,,false,
1998 French Grand Prix,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/143.csv,,,false,
San Francisco Belt Railroad,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/146.csv,,,false,
Kant (crater),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/147.csv,,,false,
Chelmsford (UK Parliament constituency),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/150.csv,,,false,
Demographics of Bhutan,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/154.csv,,,false,
37th Canadian Parliament,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/157.csv,,,false,
Timeline of chemical element discoveries,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/158.csv,,,false,
Em (Cyrillic),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/159.csv,,,false,
Ljungskile SK,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/160.csv,,,false,
Chamber of Representatives (Belgium),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/161.csv,,,false,
City of Willoughby,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/166.csv,,,false,
"Burbank, California",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/167.csv,,,false,
Green Line (Los Angeles Metro),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/168.csv,,,false,
Au Printemps (album),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/173.csv,,,false,
Levanger,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/175.csv,,,false,
Muni Metro,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/176.csv,,,false,
Bobbie Phillips,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/178.csv,,,false,
2005 Belgian Grand Prix,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/179.csv,,,false,
EMD SD60,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/180.csv,,,false,
Schnell Fenster,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/184.csv,,,false,
Africa Squadron,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/186.csv,,,false,
"Dutch general election, 1905",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/191.csv,,,false,
Lasers (album),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/192.csv,,,false,
Elizabeth Dawn,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/195.csv,,,false,
Northern Dobruja,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/196.csv,,,false,
Iraq national football team,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/197.csv,,,false,
Elizabeth McGovern,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/198.csv,,,false,
Sydney Greenstreet,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/200.csv,,,false,
Deborah Secco,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/201.csv,,,false,
Assistant Secretary of the Navy,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/202.csv,,,false,
Strike It Lucky,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/203.csv,,,false,
Ordinance of Secession,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/204.csv,,,false,
Jon-Erik Hexum,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/205.csv,,,false,
List of Crayola crayon colors,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/207.csv,,,false,
National Register of Historic Places listings in the Federated States of Micronesia,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/208.csv,,,false,
1976–77 NBA season,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/209.csv,,,false,
Formation dance,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/211.csv,,,false,
Pinus ponderosa,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/215.csv,,,false,
List of Singapore LRT stations,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/216.csv,,,false,
Gildeskål,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/217.csv,,,false,
List of Los Angeles Dodgers broadcasters,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/218.csv,,,false,
Secret Dreams and Forbidden Fire,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/219.csv,,,false,
1950 Indianapolis 500,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/222.csv,,,false,
Banat Bulgarians,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/223.csv,,,false,
Ochil (UK Parliament constituency),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/224.csv,,,false,
List of television stations in Manitoba,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/226.csv,,,false,
"New London, Connecticut",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/228.csv,,,false,
"Swedish general election, 1998",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/231.csv,,,false,
1994 Group,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/232.csv,,,false,
Field Eugene Kindley,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/233.csv,,,false,
List of banks in Turkey,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/236.csv,,,false,
Agglutination,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/239.csv,,,false,
Dosage (album),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/240.csv,,,false,
The Weather Girls,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/241.csv,,,false,
Dan Reeves,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/242.csv,,,false,
1977 in film,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/244.csv,,,false,
Georgina Hale,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/248.csv,,,false,
Names of India,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/250.csv,,,false,
List of Billboard 200 number-one albums of 1984,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/251.csv,,,false,
Caribbean Cup,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/253.csv,,,false,
Tom Neal,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/256.csv,,,false,
"Gratitude (Earth, Wind &amp; Fire album)",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/257.csv,,,false,
1980,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/258.csv,,,false,
List of districts of Maharashtra,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/260.csv,,,false,
Tom Neal,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/261.csv,,,false,
List of correctional facilities in New Zealand,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/262.csv,,,false,
List of Prime Ministers of Cambodia,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/263.csv,,,false,
List of United States national lakeshores and seashores,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/264.csv,,,false,
Hoddesdon,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/265.csv,,,false,
Va'eira,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/268.csv,,,false,
Demographics of Spain,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/269.csv,,,false,
Mudanjiang,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/270.csv,,,false,
Holborn and St Pancras (UK Parliament constituency),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/271.csv,,,false,
Transcona (electoral district),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/273.csv,,,false,
Victor Buono,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/276.csv,,,false,
1994 European Athletics Indoor Championships,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/277.csv,,,false,
Edelweiss (band),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/278.csv,,,false,
Matthew Morrison,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/202-csv/279.csv,,,false,
